nr;nume;prenume;camera;localitate;sediu;
99;Cîmpulungeanu;Marius GeorgelSarmis;Suceava;Suceava;Suceava, str. Ştefan cel Mare nr. 43,bl. E 3, sc. C, ap. 1, judeţul Suceava;
100;Bordian;Constantin;Suceava;Gura Humorului;Gura Humorului, Bd. Bucovinei nr. 21,judeţul Suceava;
101;Miron;Cătălin;Suceava;Rădăuţi;Rădăuţi,Piaţa Unirii nr. 70,judeţul Suceava;
102;Miron;BenoniViorel;Suceava;Rădăuţi;Rădăuţi,Piaţa Unirii nr. 70,judeţul Suceava;
103;OnofreiciucDranca;Gheorghe;Suceava;Rădăuţi;SUSPENDAT;
104;Stărică;Radu;Suceava;Vatra Dornei;Vatra Dornei, Str. Gării nr. 1,judeţul Suceava;
105;Nica;Gabriel;Suceava;Vatra Dornei;;
106;Ioneac;Sevastian;Suceava;Câmpulung;Câmpulung Moldovenesc, str. T. Ştefanellinr. 2, parter, cam. 1617, judeţul Suceava;
107;Căruceriu;Alexandru;Suceava;Câmpulung;Câmpulung Moldovenesc, Str. Mărţişoruluinr. 1, judeţul Suceava;
108;Hopu;Vasile;Suceava;Fălticeni;Fălticeni, str. Nicu Gane f.n.,judeţul Suceava;
109;Dumitraş;Ancuţa;Suceava;Fălticeni;Fălticeni, str. Nicu Gane f.n.,judeţul Suceava;
110;Străchinariu;Dumitru;Suceava;Botoşani;Botoşani, str. A. Marchian nr. 68, bl. A 7,sc. A, ap. 3, judeţul Botoşani;
111;Manoilă;Vasile;Suceava;Botoşani;Botoşani, bd. Mihai Eminescu nr. 69,judeţul Botoşani;
112;Sfaiţer;Carmen;Suceava;Botoşani;Botoşani, bd. Mihai Eminescu nr. 48, et. 1,cam. 45, judeţul Botoşani;
113;Gavriliuc;Sorin;Suceava;Botoşani;Botoşani, bd. Mihai Eminescu nr. 48, et. 1,cam. 45, judeţul Botoşani;
114;Secrieru;Dinu;Suceava;Botoşani;Botoşani, bd. G. Enescu nr. 5, bl. 5,sc. B,parter, judeţul Botoşani;
115;Secrieru;Paul;Suceava;Botoşani;Botoşani, Str. Victoriei nr. 8, ap. 6,judeţul Botoşani;
116;Popa;Daniel;Suceava;Dorohoi;Dorohoi, str. Dimitrie Pompiliu nr. 64,bl. Turn, parter, judeţul Botoşani;
117;Smocot;Grigori;Suceava;Dorohoi;Dorohoi, str. N. Titulescu nr. 36,judeţul Botoşani;
118;Guceanu;Adrian;Suceava;Dărăbani;Dărăbani, Str. 1 Decembrie nr. 158,judeţul Botoşani;
119;Cârlan;Florin;Suceava;Săveni;Săveni, Str. 1 Decembrie bl. E3, parter,judeţul Botoşani;
120;Tereacă;Cornel Toma;Braşov;Braşov;Braşov, str. Iuliu Maniu nr. 68, bl. 3,sc. B, ap. 1, judeţul Braşov;
121;Dincă;Stelian Emil;Braşov;Braşov;Braşov, Bd. 15 Noiembrie nr. 43, sc. A,et. 2, ap. 4, judeţul Braşov;
122;Koppandi;Ollyver;Braşov;Braşov;Braşov, Bd. 15 Noiembrie nr. 43, sc. A,et. 2, ap. 5, judeţul Braşov;
123;Dutceac;Ioan;Braşov;Braşov;Braşov, Bd. Griviţei nr. 93, sc. C, ap. 1,judeţul Braşov;
124;Anca;Ramona Loredana;Braşov;Braşov;Braşov, str. Iuliu Maniu nr. 64, sc. A,ap. 5, judeţul Braşov;
125;Manolache;Marcel Iulian;Braşov;Braşov;Braşov, str. Iuliu Maniu nr. 47, et. 5,cam. 505A, judeţul Braşov;
126;Corşate;AlexandruAlin;Braşov;Braşov;Braşov, Bd. 15 Noiembrie nr. 43, sc. A,et. 2, ap. 4, judeţul Braşov;
127;Ţermure;CălinOvidiu;Braşov;Braşov;Braşov, Str. 15 Noiembrie nr. 62, sc. D,ap. 38, judeţul Braşov;
128;Balca;Florentina;Braşov;Braşov;;
129;Blajiu;Gheorghe;Braşov;Zărneşti;Zărneşti, Str. Postăvarului bl. 11, sc. A,ap.3, judeţul Braşov;
130;Frăţilă;Viorel Alexandru;Braşov;Făgăraş;Făgăraş, str. Doamna Stanca nr. 27,judeţul Braşov;
131;Manole;Victor;Braşov;Făgăraş;Făgăraş, str. Doamna Stanca nr. 2426,judeţul Braşov (în incinta Complex Producţie, proprietate Societatea Cooperativă Meşteşugărească Viitorul Socom);
132;Foca;Marilena;Braşov;Făgăraş;;
133;MathePeter;Iosif;Braşov;Sfântu;Sfântu Gheorghe, str. Banki Donath nr. 35,judeţul Covasna;
134;Koncz;Csaba;Braşov;Sfântu;Sfântu Gheorghe, str. Ioszef Bem nr. 2,bl. 3, sc. B, ap. 3, judeţul Covasna;
135;Kolcza;Jeno Gabor;Braşov;Sfântu;Sfântu Gheorghe, Str. Ciucului nr. 3,judeţul Covasna;
136;Katona;Ella;Braşov;Sfântu;Sfântu Gheorghe, str. Bem Ioszef nr. 2,bl. 3, sc. F, ap. 7, judeţul Covasna;
137;Bălaş;Marius;Braşov;Târgu Secuiesc;Târgu Secuiesc, str. Petofi Sandor nr. 33,bl. 6, sc. A, ap. 4, judeţul Covasna;
138;MathePeter;Edit;Braşov;Târgu Secuiesc;Târgu Secuiesc, str. Petofi Sandor nr. 16,judeţul Covasna;
139;Manoli;Lucian;Braşov;Întorsura;SUSPENDAT;
140;Popescu;Sofica;Bucureşti;Bucureşti;Bucureşti, Bd. Tineretului nr. 3, bl. Z 1,ap. 5, parter, sectorul 4;
141;Popescu;Florin;Bucureşti;Bucureşti;Bucureşti, Bd. Tineretului nr. 3, bl. Z 1,ap. 5, parter, sectorul 4;
142;Dima;Mihai;Bucureşti;Bucureşti;Bucureşti, bd. Mircea Vodă nr. 41, bl. M31,sc. 1, ap. 2, parter, sectorul 3;
143;Iordache;Radu;Bucureşti;Bucureşti;Bucureşti, str. Nerva Traian nr. 16,bl. M 35, sc. 2, etaj 1, ap. 31, sectorul 3;
144;Stăiculescu;Dumitru;Bucureşti;Bucureşti;Bucureşti, Bd. Unirii nr. 43, bl. E2,sc. 1,et. 2, ap. 6, sectorul 3;
145;Răileanu;Ionuţ Cătălin;Bucureşti;Bucureşti;Bucureşti, str. Clucerul Udricani nr. 13,bl. 106A, sc. 2, ap. 22, et. 1, sectorul 3;
146;Boambeş;Viorel;Bucureşti;Bucureşti;Bucureşti, str. Blănari nr. 14, et. 2,ap. 10, sectorul 3;
147;Badea;Cătălin;Bucureşti;Bucureşti;Bucureşti, str. Blănari nr. 14, et. 2,ap. 10, sectorul 3;
148;CasagrandaStana;Anton;Bucureşti;Bucureşti;Bucureşti, Splaiul Unirii nr. 10, bl. B5,sc. 1, et. 1, ap. 1, sectorul 4;
149;Ezer;Lucian;Bucureşti;Bucureşti;Bucureşti, bd. D. Cantemir nr. 25, bl. 2,sc. C, ap. 18, etaj 4, sectorul 4;
150;Popescu;Claudiu;Bucureşti;Bucureşti;Bucureşti, bd. D. Cantemir nr. 25, bl. 2,sc. C, ap. 18, etaj 4, sectorul 4;
151;Stănescu;Ilie;Bucureşti;Bucureşti;Bucureşti, bd. Magheru nr. 68, et. 6,cam. 34, sectorul 1;
152;Nemeş;Dan;Bucureşti;Bucureşti;Bucureşti, bd. Magheru nr. 68, et. 6,cam. 35, sectorul 1;
153;Vasiliu;George;Bucureşti;Bucureşti;Bucureşti, str. Grigore Cobălcescu nr. 54,sc. 1, et. 1, ap. 1, sectorul 1;
154;Drăgănescu;George Gabriel;Bucureşti;Bucureşti;Bucureşti, bd. Brâncoveanu nr. 9, bl. B14,sc. 4, ap. 91, parter, sectorul 4;
155;Ionescu;Niculae;Bucureşti;Bucureşti;Bucureşti, bd. Brâncoveanu nr. 9, bl. B14,sc. 4, ap. 91, parter, sectorul 4;
156;Crafcenco;Gheorghe Marius;Bucureşti;Bucureşti;Bucureşti, bd. Brâncoveanu nr. 9, bl. B14,sc. 4, ap. 91, parter, sectorul 4;
157;Tănase;Gheroghe;Bucureşti;Bucureşti;Bucureşti, piaţa Naţiunile Unite nr. 35,bl. A, sc. A, ap.15, sectorul 4;
158;Chiriloiu;Filoftia;Bucureşti;Bucureşti;Bucureşti, bd. I.C. Brătianu nr. 44, sc. B,et. 3, ap. 24, sectorul 3;
159;Andrei;Ionel;Bucureşti;Bucureşti;Bucureşti, bd. I.C. Brătianu nr. 44, sc. B,et. 3, ap. 24, sectorul 3;
160;Miloş;Cristian;Bucureşti;Bucureşti;Bucureşti, str. Matei Basarab nr. 96,bl. L122, sc. 1, ap. 1, parter, sectorul 3;
161;Jalbă;Georgina;Bucureşti;Bucureşti;Bucureşti, Calea Victoriei nr. 142, sc. D,ap. 1, parter, sectorul 1;
162;Gonţ;Dorina;Bucureşti;Bucureşti;Bucureşti, str. J.L. Calderon nr. 45,ap. 1,sectorul 2;
163;Safta;Doina;Bucureşti;Bucureşti;Bucureşti, Str. Gării de Nord nr. 68,bl. A, sc. 5, et. 1, ap. 8, sectorul 1;
164;Scăeşteanu;Silvia;Bucureşti;Bucureşti;Bucureşti, bd. Naţiunile Unite nr. 8,bl. 104, sc. 5, ap. 89, et. 2, sectorul 5;
165;Dobranici;Doina Crenguţa;Bucureşti;Bucureşti;Bucureşti, bd. Corneliu Coposu nr.7,bl. 104, sc. 3, et. 2, ap. 67, sectorul 3;
166;Bran;Cristian;Bucureşti;Bucureşti;Bucureşti, str. Panduri nr. 35, bl. P1B,sc. A, et. 5, ap. 24, sectorul 5;
167;Canea;Cătălin;Bucureşti;Bucureşti;Bucureşti, Bd. 1 Mai (fostă Compozitorilor)nr. 29, bl. C 9, sc. A, et. 1, ap. 8, sectorul 6;
168;Fediuc;Gheorghe Marian;Bucureşti;Bucureşti;Bucureşti, str. Poenaru Bordea nr. 1214,et. 5, ap.15, sectorul 4;
169;Plăveti;Nicolae Dorin;Bucureşti;Bucureşti;Bucureşti, bd. Naţiunile Unite nr. 15,bl. 110, sc.A, et.5, ap. 17, sectorul 5;
170;Pârvan;Violeta Alexandra;Bucureşti;Bucureşti;Bucureşti, bd. Corneliu Coposu nr. 5,bl. 103, ap. 54, sectorul 3;
171;Olteanu;Nicolae Caius;Bucureşti;Bucureşti;SUSPENDAT;
172;Şomâldoc;Paula Daniela;Bucureşti;Bucureşti;Bucureşti, Bd. Unirii nr. 37, bl.A4, ap. 9,sectorul 3;
173;Toma;Ana Maria;Bucureşti;Bucureşti;Bucureşti, str. Ilfov nr. 1, et. 2, ap. 3,sectorul 5;
174;Ulman;Bogdan Vasile;Bucureşti;Bucureşti;Bucureşti, bd. Carol I nr. 76, ap. 3,sectorul 2;
175;Constantin;Gabriel Cătălin;Bucureşti;Bucureşti;Bucureşti, str. Ţepeş Vodă nr. 13, et. 2,ap. 3, sectorul 3;
176;Giurgea;Bucur;Bucureşti;Bucureşti;Bucureşti, bd. I. C. Brătianu nr. 44,sc. A,et. 2, ap. 18, sectorul 3;
177;Maghiar;Bogdan;Bucureşti;Bucureşti;Bucureşti, Bd. Unirii nr. 20, bl. 5C,ap. 64, sectorul 4;
178;Raportoru;Georgeta;Bucureşti;Bucureşti;Bucureşti, piaţa Alba Iulia nr. 8, bl. 17,sc. 2, et. 1, ap. 25, sectorul 3;
179;Ştefan;Viorel Dinu;Bucureşti;Bucureşti;Bucureşti, bd. Regina Elisabeta nr. 30,sectorul 5;
180;Petre;Cristian;Bucureşti;Bucureşti;Bucureşti, Str. Băniei nr. 17, parter,ap. 2, sectorul 3;
181;Duică;Claudiu;Bucureşti;Bucureşti;Bucureşti, Splaiul Independenţei nr. 17,bl. 101, sc. 4, et. 2, ap. 59, sectorul 5;
182;Dumitrache;Bogdan;Bucureşti;Bucureşti;Bucureşti, bd. Burebista nr. 4, bl. D13,sc. 4, et. 4, ap. 124, sectorul 3;
183;Culea;Marian Orlando;Bucureşti;Bucureşti;Bucureşti, bd. Burebista nr. 4, bl. D13,sc. 4, et. 4, ap. 124, sectorul 3  asociat executor judecătoresc Dumitrache Bogdan;
184;Costescu;Lucian;Bucureşti;Bucureşti;Bucureşti, str. Pătraşcu Vodă nr. 1, sc. 1,et. 1, ap. 25, sectorul 3;
185;Paviliu;BogdanAdrian;Bucureşti;Bucureşti;Bucureşti, Splaiul Independenţei nr. 58A,ap. 6, parter, sectorul 5;
186;Popa;Carmen Gabriela;Bucureşti;Bucureşti;Bucureşti, Splaiul Independenţei nr. 3,bl. 17, sc. 1, et. 8, ap. 19 bis,sectorul 5;
187;Rocoşanu;DragoşPaul;Bucureşti;Bucureşti;Bucureşti, str. Ştefan Iulian nr. 38,etaj 7, sectorul 1;
188;Sersea;AdrianEugen;Bucureşti;Bucureşti;Bucureşti, Str. Dristorului nr. 97119,bl. 63, sc.1, parter, ap. 21, sectorul 3;
189;Mutuligă;Monica;Bucureşti;Bucureşti;Bucureşti, str. Ştirbei Vodă nr. 117,ap. 2, sectorul 1;
190;Petre;Dan;Bucureşti;Bucureşti;asociat cu executor judecătoresc MutuligăMonica;
191;Cojocaru;Bogdan Mihai;Bucureşti;Bucureşti;;
192;Nastasă;Alexandru;Bucureşti;Bucureşti;Bucureşti, Str. Zborului (Sborului) nr. 10,sectorul 3;
193;Ichim;Viorel;Bucureşti;Buftea;Buftea, str. Ştirbei Vodă nr. 55,bl. Vila 1, sc. 2, et. 2, ap. 5, judeţul Ilfov;
194;Benescu;Cătălin;Bucureşti;Buftea;Buftea, str. Mihai Eminescu nr. 5,judeţul Ilfov;
195;Dobra;Camelia Ofelia;Bucureşti;Buftea;Buftea, str. Ştirbei Voda nr. 55, vila 1,parter, ap. 2, judeţul Ilfov;
196;Voican;Mădălina;Bucureşti;Buftea;SUSPENDATĂ;
197;Balica;Marius Eugen;Bucureşti;Buftea;Buftea, str. Mihai Eminescu nr. 5,judeţul Ilfov;
198;Nistor;Vasile;Bucureşti;Zimnicea;Zimnicea, str. Cuza Vodă bl. 10A, sc. D,ap. 4, judeţul Teleorman;
199;Împungerouă;Nicolae;Bucureşti;Videle;Videle, Str. Primăverii bl. C 6, sc. B,et. 1, ap. 18, judeţul Teleorman;
200;Mihăiţă;Marian;Bucureşti;Alexandria;Alexandria, Str. Dunării nr. 145 bis,bl. H 127, sc. A, ap. 5, et. 1, judeţul Teleorman;
201;Horovath;Sorin;Bucureşti;Alexandria;Alexandria, Str. Dunării nr. 218,bl. TRB4,sc. A, ap. 2, judeţul Teleorman;
202;Zlătan;GabrielaSimona;Bucureşti;Alexandria;Alexandria, Str. Libertăţii nr. 211,bl. L8L9, et.1, judeţul Teleorman;
203;Niţu;Ion;Bucureşti;Slobozia;Slobozia, Bd. Cosminului nr. 14, bl. T 3,sc. A, et. 1, ap. 7, judeţul Ialomiţa;
204;Banciu;Constantin;Bucureşti;Slobozia;Slobozia, str. Cuza Vodă bl. 17, sc. A,ap. 1, parter, judeţul Ialomiţa;
